year,block,dsl_b,org_type,cin,iso_certified,initial_prod_year,acc_year_from,acc_year_to,months_operation,foreign_share,rd_unit,formal_training
24,B,100271,1,1E+21,1,2000,4,32024,12,2,3,2
24,B,100272,7,1E+21,2,2009,4,32024,12,2,3,2
24,B,100273,7,1E+21,2,2010,4,32024,12,2,3,2
24,B,100275,7,1E+21,2,2017,4,32024,12,2,3,2
24,B,100276,7,1E+21,2,2012,4,32024,11,2,3,2
24,B,100277,2,1E+21,2,2011,4,32024,8,2,3,2
24,B,100278,1,1E+21,2,2018,4,32024,12,2,3,2
24,B,100279,1,1E+21,2,2005,4,32024,12,2,3,2
24,B,100280,1,1E+21,2,2016,4,32024,12,2,3,2
24,B,100281,2,1E+21,2,2010,4,32024,12,2,3,2
24,B,100282,2,1E+21,2,2021,4,32024,8,2,3,2
24,B,100283,6,1E+21,2,1988,4,32024,12,2,3,2
24,B,100284,2,1E+21,2,1981,4,32024,12,2,3,2
24,B,100285,6,1E+21,2,2009,4,32024,12,2,3,2
24,B,100286,7,1E+21,2,1986,4,32024,12,2,3,2
24,B,100287,7,1E+21,2,1994,4,32024,12,2,3,1
24,B,100288,7,1E+21,2,2013,4,32024,12,2,3,2
24,B,100289,2,1E+21,2,2009,4,32024,12,2,3,2
24,B,100290,2,1E+21,2,2005,4,32024,12,2,3,2
24,B,100291,2,1E+21,2,2010,4,32024,12,2,3,2
24,B,100292,7,1E+21,2,2013,4,32024,12,2,3,2
24,B,100293,2,1E+21,2,2021,4,32024,12,2,3,2
24,B,100294,2,1E+21,2,2006,4,32024,0,2,3,2
24,B,100295,2,1E+21,2,2010,4,32024,0,2,3,2
24,B,100296,2,1E+21,2,2006,4,32024,12,2,3,2
24,B,100297,7,1E+21,2,2000,4,32024,12,2,3,2
24,B,100298,1,1E+21,2,2008,4,32024,12,2,3,2
24,B,100299,2,1E+21,2,0,4,32024,0,2,3,2
24,B,100300,1,1E+21,2,1971,4,32024,3,2,3,1
24,B,100301,6,1E+21,2,2007,4,32024,12,2,3,2
24,B,100302,2,1E+21,2,2009,4,32024,12,2,3,2
24,B,100303,1,1E+21,2,2017,4,32024,12,2,3,2
24,B,100304,7,1E+21,2,1996,4,32024,0,2,3,2
24,B,100305,2,1E+21,2,1987,4,32024,12,2,3,2
24,B,100306,2,1E+21,2,2008,4,32024,0,2,3,2
24,B,100307,6,1E+21,1,2012,4,32024,12,2,3,1
24,B,100308,2,1E+21,2,2012,4,32024,12,2,3,2
24,B,100309,7,1E+21,2,2013,4,32024,12,2,3,2
24,B,100310,2,1E+21,2,2014,4,32024,12,2,3,2
24,B,100311,7,1E+21,2,2015,4,32024,12,2,3,2
24,B,100312,1,1E+21,2,2019,4,32024,12,2,3,2
24,B,100313,7,1E+21,2,2021,4,32024,8,2,3,2
24,B,100314,4,1E+21,1,1970,4,32024,12,2,3,2
24,B,100315,1,1E+21,2,2022,4,32024,6,2,3,2
24,B,100316,1,1E+21,2,2010,4,32024,12,2,3,2
24,B,100317,1,1E+21,2,1980,4,32024,12,2,3,2
24,B,100318,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100319,7,1E+21,1,1997,4,32024,12,2,3,2
24,B,100320,6,1E+21,2,2008,4,32024,12,2,3,2
24,B,100321,2,1E+21,2,2007,4,32024,12,2,3,2
24,B,100322,1,1E+21,2,2008,4,32024,12,2,3,2
24,B,100323,7,1E+21,2,2015,4,32024,12,2,3,2
24,B,100324,7,1E+21,2,2014,4,32024,12,2,3,2
24,B,100325,1,1E+21,2,1999,4,32024,12,2,3,2
24,B,100326,2,1E+21,2,2011,4,32024,12,2,3,2
24,B,100327,1,1E+21,2,2011,4,32024,12,2,3,2
24,B,100328,2,1E+21,2,2015,4,32024,12,2,3,2
24,B,100329,7,1E+21,2,0,4,32024,0,2,3,2
24,B,100330,1,1E+21,2,2000,4,32024,12,2,3,2
24,B,100331,1,1E+21,2,2007,4,32024,12,2,3,2
24,B,100332,2,1E+21,2,2012,4,32024,12,2,3,2
24,B,100333,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100334,6,1E+21,2,2012,4,32024,12,2,3,2
24,B,100335,1,1E+21,2,1988,4,32024,12,2,3,2
24,B,100336,1,1E+21,2,2000,4,32024,12,2,3,2
24,B,100337,1,1E+21,2,2010,4,32024,12,2,3,2
24,B,100338,1,1E+21,2,1999,4,32024,12,2,3,2
24,B,100339,1,1E+21,2,2005,4,32024,5,2,3,2
24,B,100340,3,1E+21,2,2017,4,32024,12,2,3,2
24,B,100341,7,1E+21,2,1983,4,32024,12,2,3,2
24,B,100342,2,1E+21,2,1964,4,32024,12,2,3,2
24,B,100343,2,1E+21,2,1973,4,32024,8,2,3,2
24,B,100344,7,1E+21,1,1995,4,32024,12,2,3,2
24,B,100345,1,1E+21,2,2004,4,32024,12,2,3,2
24,B,100346,2,1E+21,2,2004,4,32024,8,2,3,2
24,B,100347,2,1E+21,2,2004,4,32024,12,2,3,2
24,B,100348,1,1E+21,2,2002,4,32024,12,2,3,2
24,B,100349,7,1E+21,2,2008,4,32024,12,2,3,2
24,B,100350,4,1E+21,2,1985,4,32024,12,2,3,2
24,B,100351,4,1E+21,2,1980,4,32024,12,2,3,2
24,B,100352,1,1E+21,2,1978,4,32024,12,2,3,2
24,B,100353,1,1E+21,2,1985,4,32024,12,2,3,2
24,B,100354,1,1E+21,2,1995,4,32024,12,2,3,2
24,B,100355,7,1E+21,2,1998,4,32024,12,2,3,2
24,B,100356,2,1E+21,2,2010,4,32024,12,2,3,2
24,B,100357,1,1E+21,2,2010,4,32024,12,2,3,2
24,B,100358,1,1E+21,2,2013,4,32024,12,2,3,2
24,B,100359,1,1E+21,2,2010,4,32024,12,2,3,2
24,B,100360,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100361,2,1E+21,2,2012,4,32024,12,2,3,2
24,B,100362,2,1E+21,2,1960,4,32024,0,2,3,2
24,B,100363,1,1E+21,2,1985,4,32024,12,2,3,2
24,B,100364,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100365,7,1E+21,2,2011,4,32024,12,2,3,2
24,B,100366,5,1E+21,2,1980,4,32024,12,2,3,2
24,B,100367,7,1E+21,2,1987,4,32024,12,2,3,2
24,B,100368,7,1E+21,2,2009,4,32024,12,2,3,2
24,B,100369,7,1E+21,2,2002,4,32024,12,2,3,2
24,B,100370,6,1E+21,2,0,4,32024,0,2,3,2
24,B,100371,6,1E+21,2,2009,4,32024,12,2,3,2
24,B,100372,1,1E+21,2,2016,4,32024,12,2,3,2
24,B,100373,1,1E+21,2,2004,4,32024,12,2,3,2
24,B,100374,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100375,1,1E+21,2,1985,4,32024,12,2,3,2
24,B,100376,7,1E+21,2,2001,4,32024,12,2,3,2
24,B,100377,7,1E+21,2,0,4,32024,0,2,3,2
24,B,100378,7,1E+21,2,2010,4,32024,12,2,3,2
24,B,100380,7,1E+21,2,2010,4,32024,12,2,3,2
24,B,100381,7,1E+21,2,2015,4,32024,12,2,3,2
24,B,100382,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100384,7,1E+21,2,2012,4,32024,12,2,3,1
24,B,100385,7,1E+21,2,2008,4,32024,12,2,3,2
24,B,100386,9,1E+21,2,0,4,32024,0,2,3,2
